id,PG,SG,SF,PF,C,sum,label_name
Keith Benson,0,0,0,0,1,3,Keith Benson
Keith Bogans,0,1,1,0,0,36,Keith Bogans
Kendrick Perkins,0,0,0,0,1,172,Kendrick Perkins
Kevin Martin,1,1,0,0,0,189,Kevin Martin
Keyon Dooling,1,1,0,0,0,13,Keyon Dooling
Klay Thompson,0,1,0,0,0,396,Klay Thompson
Kurt Thomas,0,0,0,1,1,39,Kurt Thomas
Kyle Korver,0,1,1,1,0,300,Kyle Korver
Kyrie Irving,1,0,0,0,0,645,Kyrie Irving
Lamar Odom,0,0,1,1,0,99,Lamar Odom
LaMarcus Aldridge,0,0,0,1,1,259,LaMarcus Aldridge
Lance Thomas,0,0,1,1,0,30,Lance Thomas
Landry Fields,0,1,1,0,0,64,Landry Fields
Lavoy Allen,0,0,0,1,1,45,Lavoy Allen
Luis Scola,0,0,0,1,0,122,Luis Scola
Luol Deng,0,0,1,1,0,293,Luol Deng
Marc Gasol,0,0,0,0,1,389,Marc Gasol
Marcin Gortat,0,0,0,1,1,147,Marcin Gortat
Marcus Camby,0,0,0,1,1,83,Marcus Camby
Marcus Cousin,0,0,0,0,1,122,Marcus Cousin
Marcus Thornton,0,1,0,0,0,94,Marcus Thornton
Mario Chalmers,1,0,0,0,0,218,Mario Chalmers
Markieff Morris,0,0,0,1,0,69,Markieff Morris
Marquis Daniels,0,1,1,0,0,18,Marquis Daniels
Martell Webster,0,0,1,0,0,100,Martell Webster
Matt Barnes,0,0,1,1,0,112,Matt Barnes
Michael Beasley,0,0,1,1,0,106,Michael Beasley
Mickael Pietrus,1,1,1,0,0,24,Mickael Pietrus
Mickell Gladness,0,0,0,1,0,6,Mickell Gladness
Mike Bibby,1,0,0,0,0,15,Mike Bibby
Mike Conley,1,0,0,0,0,266,Mike Conley
Mike Dunleavy,0,0,0,0,0,158,Mike Dunleavy
Mikki Moore,0,0,0,1,1,1,Mikki Moore
Mo Williams,1,1,0,0,0,158,Mo Williams
Nate Robinson,1,0,0,0,0,150,Nate Robinson
Nazr Mohammed,0,0,0,0,1,53,Nazr Mohammed
Nicolas Batum,0,0,1,0,0,202,Nicolas Batum
Nikola Pekovic,0,0,0,0,1,240,Nikola Pekovic
Nikola Vucevic,0,0,0,0,1,118,Nikola Vucevic
Patrick Ewing,0,0,0,0,0,80,Patrick Ewing
Pau Gasol,0,0,0,1,1,492,Pau Gasol
Rasual Butler,0,1,1,0,0,16,Rasual Butler
Reggie Jackson,1,0,0,0,0,165,Reggie Jackson
Reggie Williams,0,0,0,0,0,13,Reggie Williams
Roger Mason,1,1,1,0,0,41,Roger Mason
Ronny Turiaf,0,0,0,0,1,74,Ronny Turiaf
Rudy Gay,0,0,1,0,0,278,Rudy Gay
Russell Westbrook,1,0,0,0,0,636,Russell Westbrook
Ryan Gomes,0,0,1,1,0,9,Ryan Gomes
Sebastian Telfair,1,0,0,0,0,42,Sebastian Telfair
Shaquille O'Neal,0,0,0,0,1,244,Shaquille O'Neal
Shaun Livingston,1,1,0,0,0,128,Shaun Livingston
Stephen Jackson,0,1,1,1,0,81,Stephen Jackson
Terrel Harris,0,1,0,0,0,14,Terrel Harris
Thaddeus Young,0,0,0,1,0,153,Thaddeus Young
Tobias Harris,0,0,1,1,0,92,Tobias Harris
Toney Douglas,1,1,0,0,0,71,Toney Douglas
Tracy McGrady,0,1,1,0,0,24,Tracy McGrady
Travis Leslie,0,1,0,0,0,2,Travis Leslie
Travis Outlaw,0,0,1,1,0,18,Travis Outlaw
Trey Thompkins,0,0,0,0,1,1,Trey Thompkins
Tristan Thompson,0,0,0,1,0,222,Tristan Thompson
Tyler Honeycutt,0,0,1,0,0,7,Tyler Honeycutt
Tyreke Evans,0,1,1,0,0,183,Tyreke Evans
Vernon Macklin,0,0,0,0,1,1,Vernon Macklin
Vince Carter,0,1,1,0,0,158,Vince Carter
Vladimir Radmanovic,0,0,1,1,0,16,Vladimir Radmanovic
Walker Russell,0,0,0,0,0,3,Walker Russell
Wayne Ellington,0,1,0,0,0,77,Wayne Ellington
Xavier Silas,0,1,0,0,0,7,Xavier Silas
Zach Randolph,0,0,0,1,1,316,Zach Randolph
Aaron Brooks,1,0,0,0,0,67,Aaron Brooks
Andre Miller,1,1,0,0,0,158,Andre Miller
Andrei Kirilenko,0,0,1,1,0,156,Andrei Kirilenko
Anthony Carter,1,0,0,0,0,3,Anthony Carter
Anthony Randolph,0,0,0,1,1,39,Anthony Randolph
Austin Daye,0,0,1,0,0,48,Austin Daye
Boris Diaw,0,1,0,1,0,142,Boris Diaw
Brendan Haywood,0,0,0,0,1,64,Brendan Haywood
Carl Landry,0,0,0,1,0,99,Carl Landry
Chandler Parsons,0,0,1,0,0,191,Chandler Parsons
Charlie Villanueva,0,0,0,1,0,65,Charlie Villanueva
Corey Maggette,0,1,1,1,0,37,Corey Maggette
Craig Smith,0,0,0,1,0,2,Craig Smith
D.J. Augustin,1,0,0,0,0,57,D.J. Augustin
DeAndre Liggins,0,1,1,0,0,14,DeAndre Liggins
DeSagana Diop,0,0,0,1,1,9,DeSagana Diop
Devin Harris,1,1,0,0,0,147,Devin Harris
Dominic McGuire,0,1,1,1,0,13,Dominic McGuire
E'Twaun Moore,1,1,0,0,0,34,E'Twaun Moore
Earl Clark,0,0,1,1,0,47,Earl Clark
Eduardo Najera,0,0,1,1,0,7,Eduardo Najera
Eric Maynor,1,1,0,0,0,51,Eric Maynor
Gerald Green,0,1,1,0,0,85,Gerald Green
